"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 23 23:00:05 AMT 2023","Thu Mar 23 23:00:07 AMT 2023","1781","SocialVenue Dashboard","SocialVenue Dashboard Test Regression","dashboard.LoginDashboardTest","dashboard.LoginDashboardTest","loginSvDashboard","loginSvDashboard",""
"passed","Thu Mar 23 22:59:22 AMT 2023","Thu Mar 23 22:59:31 AMT 2023","8942","SocialVenue Dashboard","SocialVenue Dashboard Test Regression","dashboard.InviteMemberTest","dashboard.InviteMemberTest","verifyInvitationFunctionality","verifyInvitationFunctionality",""
"passed","Thu Mar 23 22:58:12 AMT 2023","Thu Mar 23 22:58:18 AMT 2023","5922","SocialVenue Dashboard","SocialVenue Dashboard Test Regression","dashboard.CompanyProfileTest","dashboard.CompanyProfileTest","verifyFunctionalitySavingNewCompanyName","verifyFunctionalitySavingNewCompanyName",""
"passed","Thu Mar 23 22:59:01 AMT 2023","Thu Mar 23 22:59:16 AMT 2023","14853","SocialVenue Dashboard","SocialVenue Dashboard Test Regression","dashboard.InviteMemberTest","dashboard.InviteMemberTest","verifyDeleteMemberFunctionality","verifyDeleteMemberFunctionality",""
"passed","Thu Mar 23 22:58:49 AMT 2023","Thu Mar 23 22:58:53 AMT 2023","4817","SocialVenue Dashboard","SocialVenue Dashboard Test Regression","dashboard.CustomizationRewardTest","dashboard.CustomizationRewardTest","verifySetRewardsPointsGoal","verifySetRewardsPointsGoal",""
"passed","Thu Mar 23 22:58:25 AMT 2023","Thu Mar 23 22:58:43 AMT 2023","17763","SocialVenue Dashboard","SocialVenue Dashboard Test Regression","dashboard.CustomizationRewardTest","dashboard.CustomizationRewardTest","verifyAllRewardsTogglesEnableAndDisable","verifyAllRewardsTogglesEnableAndDisable",""
"passed","Thu Mar 23 22:59:58 AMT 2023","Thu Mar 23 22:59:59 AMT 2023","759","SocialVenue Dashboard","SocialVenue Dashboard Test Regression","dashboard.LoginDashboardNegativeTest","dashboard.LoginDashboardNegativeTest","loginSvDashboardWithoutPassword","loginSvDashboardWithoutPassword",""
"passed","Thu Mar 23 22:59:51 AMT 2023","Thu Mar 23 22:59:52 AMT 2023","684","SocialVenue Dashboard","SocialVenue Dashboard Test Regression","dashboard.LoginDashboardNegativeTest","dashboard.LoginDashboardNegativeTest","loginSvDashboardWithoutEmail","loginSvDashboardWithoutEmail",""
"passed","Thu Mar 23 22:59:44 AMT 2023","Thu Mar 23 22:59:45 AMT 2023","751","SocialVenue Dashboard","SocialVenue Dashboard Test Regression","dashboard.LoginDashboardNegativeTest","dashboard.LoginDashboardNegativeTest","loginSvDashboardWithInvalidEmail","loginSvDashboardWithInvalidEmail",""
"passed","Thu Mar 23 22:58:00 AMT 2023","Thu Mar 23 22:58:05 AMT 2023","5761","SocialVenue Dashboard","SocialVenue Dashboard Test Regression","dashboard.CompanyProfileTest","dashboard.CompanyProfileTest","verifyFunctionalitySavingNewCompanyAddress","verifyFunctionalitySavingNewCompanyAddress",""
"passed","Thu Mar 23 22:59:37 AMT 2023","Thu Mar 23 22:59:38 AMT 2023","1367","SocialVenue Dashboard","SocialVenue Dashboard Test Regression","dashboard.LoginDashboardNegativeTest","dashboard.LoginDashboardNegativeTest","loginSvDashboardWithInvalidCredentials","loginSvDashboardWithInvalidCredentials",""
"passed","Thu Mar 23 22:57:48 AMT 2023","Thu Mar 23 22:57:53 AMT 2023","4866","SocialVenue Dashboard","SocialVenue Dashboard Test Regression","dashboard.CompanyProfileTest","dashboard.CompanyProfileTest","verifyFunctionalitySavingNewCityName","verifyFunctionalitySavingNewCityName",""
